Number,TP,TN,FP,FN,acc,error,precision,recall,TP_rate,FP_rate,specificity,F1_score,wrong_prediction
1,424,151,4,8,0.97955707,0.02044293,0.990654206,0.981481481,0.981481481,0.025806452,0.974193548,0.986046512,12
2,419,155,9,4,0.977853492,0.022146508,0.978971963,0.990543735,0.990543735,0.054878049,0.945121951,0.984723854,13
3,419,153,9,6,0.974446337,0.025553663,0.978971963,0.985882353,0.985882353,0.055555556,0.944444444,0.982415006,15
4,423,151,5,8,0.977853492,0.022146508,0.988317757,0.981438515,0.981438515,0.032051282,0.967948718,0.984866123,13
5,420,154,8,5,0.977853492,0.022146508,0.981308411,0.988235294,0.988235294,0.049382716,0.950617284,0.984759672,13
6,419,154,9,5,0.976149915,0.023850085,0.978971963,0.988207547,0.988207547,0.055214724,0.944785276,0.983568075,14
7,420,153,8,6,0.976149915,0.023850085,0.981308411,0.985915493,0.985915493,0.049689441,0.950310559,0.983606557,14
8,419,153,9,6,0.974446337,0.025553663,0.978971963,0.985882353,0.985882353,0.055555556,0.944444444,0.982415006,15
9,418,156,10,3,0.977853492,0.022146508,0.976635514,0.992874109,0.992874109,0.060240964,0.939759036,0.984687868,13
10,421,154,7,5,0.97955707,0.02044293,0.98364486,0.988262911,0.988262911,0.043478261,0.956521739,0.985948478,12
11,421,156,7,3,0.982964225,0.017035775,0.98364486,0.992924528,0.992924528,0.042944785,0.957055215,0.988262911,10
12,418,155,10,4,0.976149915,0.023850085,0.976635514,0.990521327,0.990521327,0.060606061,0.939393939,0.983529412,14
13,412,157,16,2,0.969335605,0.030664395,0.962616822,0.995169082,0.995169082,0.092485549,0.907514451,0.978622328,18
14,417,156,11,3,0.976149915,0.023850085,0.974299065,0.992857143,0.992857143,0.065868263,0.934131737,0.983490566,14
15,418,152,10,7,0.971039182,0.028960818,0.976635514,0.983529412,0.983529412,0.061728395,0.938271605,0.98007034,17
